trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.29244193182929556, 'e': 0.34116606151404244}",30,0,-22.766303515588547,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",1
108,False,"{'a': 0.2909797221701491, 'e': 0.337754400898902}",25,14,-22.22198900543358,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.28952482355929837, 'e': 0.334376856889913}",25,0,-26.30768151801616,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.2880771994415019, 'e': 0.33103308832101386}",25,0,-100.90456637561712,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.28663681344429437, 'e': 0.3277227574378037}",30,11,21.46180674987496,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.2852036293770729, 'e': 0.3244455298634257}",20,0,23.719322855755216,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.2837776112301875, 'e': 0.3212010745647914}",35,3,13.921494745064471,"{0: 30, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.2823587231740366, 'e': 0.3179890638191435}",30,10,-11.491662645319717,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.2809469295581664, 'e': 0.31480917318095203}",20,0,-10.727684820232007,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
116,False,"{'a': 0.2795421949103756, 'e': 0.3116610814491425}",20,0,-7.864185716601828,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.2781444839358237, 'e': 0.30854447063465107}",20,15,8.741925605730563,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.27675376151614456, 'e': 0.30545902592830454}",25,2,13.421465754568995,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.2753699927085638, 'e': 0.3024044356690215}",20,14,12.386637184628542,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.273993142745021, 'e': 0.29938039131233124}",20,8,-11.052267123422872,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.2726231770312959, 'e': 0.2963865873992079}",30,10,11.177679029962261,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.27126006114613943, 'e': 0.29342272152521587}",20,11,10.735906915611688,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.26990376084040874, 'e': 0.2904884943099637}",30,18,0.001986591944039384,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.2685542420362067, 'e': 0.28758360936686406}",25,14,15.107018572497621,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.26721147082602564, 'e': 0.2847077732731954}",30,10,22.660197002214865,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.2658754134718955, 'e': 0.28186069554046345}",25,0,-57.399159817889284,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
127,False,"{'a': 0.26454603640453606, 'e': 0.2790420885850588}",30,9,35.741904415925426,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2632233062225134, 'e': 0.2762516676992082}",30,19,2.8118740128409523,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.2619071896914008, 'e': 0.27348915102221616}",30,11,21.512646302043684,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.2605976537429438, 'e': 0.270754259511994}",25,16,11.787189769913503,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.2592946654742291, 'e': 0.26804671691687404}",25,0,-26.380984325154166,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
132,False,"{'a': 0.25799819214685793, 'e': 0.2653662497477053}",20,8,24.01794865006878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.25670820118612364, 'e': 0.2627125872502282}",20,10,19.755508434317292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.255424660180193, 'e': 0.2600854613777259}",25,20,10.168411732631078,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.25414753687929204, 'e': 0.2574846067639487}",25,15,20.96320514629839,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2528767991948956, 'e': 0.2549097606963092}",30,18,-6.221928209190569,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.2516124151989211, 'e': 0.2523606630893461}",25,0,23.586780005255974,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.2503543531229265, 'e': 0.24983705645845267}",20,9,-16.971331528990394,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.24910258135731184, 'e': 0.24733868589386815}",20,10,-3.2914968854459934,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.24785706845052527, 'e': 0.24486529903492946}",30,10,-16.80148894349702,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.24661778310827265, 'e': 0.24241664604458016}",25,13,16.35309976010028,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.2453846941927313, 'e': 0.23999247958413436}",20,0,-1.4470893100137616,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.24415777072176764, 'e': 0.23759255478829303}",20,0,-35.390866458199355,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.2429369818681588, 'e': 0.2352166292404101}",30,16,10.332887775656038,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.241722296958818, 'e': 0.232864462948006}",20,0,-10.305362278787825,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.2405136854740239, 'e': 0.23053581831852593}",20,13,-8.765092448588652,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.23931111704665378, 'e': 0.22823046013534068}",20,3,-1.6971426302706847,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.23811456146142052, 'e': 0.22594815553398728}",25,3,28.15925489385275,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2369239886541134, 'e': 0.22368867397864742}",25,0,0.9256354715968134,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
150,False,"{'a': 0.23573936871084283, 'e': 0.22145178723886094}",20,10,17.901784790861587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.23456067186728863, 'e': 0.21923726936647234}",25,2,-48.91989403927797,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
152,False,"{'a': 0.23338786850795218, 'e': 0.2170448966728076}",25,17,17.472685321267278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.23222092916541243, 'e': 0.21487444770607952}",35,13,-7.651057189894727,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
